source_name,source_domain,url,published_at,retrieved_at,article_id,discovery_method,sitemap_url,title,description,fetched_at,http_status,notes,shortlist,relevance_score,relevance_hits
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/19/the-cost-of-genocide-israels-war-on-gaza-by-the-numbers,2026-02-19T09:21:09+00:00,2026-02-19T09:33:27+00:00,b4b81e2ec591,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,The cost of genocide: Israel’s war on Gaza by the numbers,"Billions of dollars have been spent, directly and indirectly, by Israel since starting its war on Gaza in October 2023.",2026-02-19T09:49:07+00:00,200,,1,6,israel|gaza|genocide
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/19/torture-threats-rape-palestinian-journalists-detail-israeli-jail-abuse,2026-02-19T08:17:18+00:00,2026-02-19T09:33:27+00:00,458bd75012d0,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,"‘Torture, threats, rape’: Palestinian journalists detail Israeli jail abuse",CPJ report shares harrowing accounts of dozens of Palestinian journalists jailed by Israel since October 2023.,2026-02-19T09:49:08+00:00,200,,1,9,israel|israeli|palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/19/young-palestinian-shot-killed-by-israeli-settlers-northeast-of-jerusalem,2026-02-19T03:37:52+00:00,2026-02-19T09:33:27+00:00,8b02760f20df,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,"Young Palestinian shot, killed by Israeli settlers northeast of Jerusalem","Attacks by Israeli settlers in the occupied West Bank have intensified recently, backed by Israeli forces.",2026-02-19T09:49:09+00:00,200,,1,17,israel|israeli|palestin|west bank|jerusalem|jerusalem|pa|settlers|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/unsc-moves-gaza-meeting-to-avoid-clash-with-trumps-board-of-peace,2026-02-18T22:41:00+00:00,2026-02-19T09:33:27+00:00,80fe633790cc,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,"Diplomats slam Israel’s Gaza ‘ceasefire’ violations, West Bank push at UNSC",Pakistan's deputy PM tells Security Council that Israel's push to deepen control over West Bank is 'gravely disturbing'.,2026-02-19T09:49:09+00:00,200,,1,12,israel|gaza|west bank|pa|plo|ceasefire|un|security council
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/leila-shahid-palestinian-diplomat-dies-in-france-aged-76,2026-02-18T18:33:57+00:00,2026-02-19T09:33:27+00:00,d345fcf84917,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,"Leila Shahid, Palestinian diplomat, dies in France aged 76","Tributes pour in for former Palestinian envoy to France and EU, remembered as 'voice for justice, freedom and peace'.",2026-02-19T09:49:10+00:00,200,,1,4,palestin|pa|plo
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/pro-palestine-activists-acquitted-of-burglary-at-israeli-arms-site-in-uk,2026-02-18T13:43:22+00:00,2026-02-19T09:33:27+00:00,3aaffd867a9a,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Pro-Palestine activists acquitted of burglary at Israeli arms site in UK,"Filton24 defendants, members of Palestine Action, found not guilty as prosecutors fail to provide evidence.",2026-02-19T09:49:11+00:00,200,,1,9,israel|israeli|palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/israel-kills-two-in-gaza-blocks-thousands-from-medical-exit-through-rafah,2026-02-18T14:26:53+00:00,2026-02-19T09:33:27+00:00,a7d2ed4843cb,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,"Israel kills two in Gaza, blocks thousands from medical exit through Rafah","The latest deaths come as just 260 people have been allowed to seek medical care via the crossing to Egypt, the UN says.",2026-02-19T09:49:11+00:00,200,,1,8,israel|gaza|rafah|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/israeli-army-sniper-in-chile-accused-of-gaza-war-crimes-could-face-justice,2026-02-18T10:55:16+00:00,2026-02-19T09:33:27+00:00,2f68c4242b98,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Israeli army sniper in Chile accused of Gaza war crimes could face justice,"Rom Kovtun's social media reveal he was holidaying in country, opening door to 'universal jurisdiction' legal jeopardy.",2026-02-19T09:49:12+00:00,200,,1,11,israel|israeli|gaza|israeli army|pa|un|war crimes
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/cambodian-pm-says-thailand-occupying-deep-territory-after-ceasefire,2026-02-18T08:19:57+00:00,2026-02-19T09:33:27+00:00,55ab278d42d1,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Cambodian PM says Thailand occupying ‘deep’ territory after ceasefire,Hun Manet calls for border demarcation and says US President Donald Trump's Board of Peace could 'play a role'.,2026-02-19T09:49:13+00:00,200,,1,2,ceasefire|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/palestinians-in-gaza-face-food-shortages-restrictions-as-ramadan-begins,2026-02-18T08:28:58+00:00,2026-02-19T09:33:27+00:00,02d2f20a75c3,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,"Ramadan begins in Palestine, Gulf; Egypt, Syria, more Muslim states to come","Palestinians in Gaza face food shortages, restrictions as Israeli attacks continue during Islamic holy month.",2026-02-19T09:49:14+00:00,200,,1,10,israel|israeli|palestin|gaza|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/over-80-un-member-states-condemn-israels-de-facto-annexation-of-west-bank,2026-02-18T05:29:32+00:00,2026-02-19T09:33:27+00:00,b9920ee0f330,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Over 80 UN member states condemn Israel’s de facto annexation of West Bank,UN warns that Israel's plan will lead to widespread dispossession of Palestinian land in the occupied West Bank.,2026-02-19T09:49:15+00:00,200,,1,9,israel|palestin|west bank|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/over-80-film-workers-slam-berlin-festivals-silence-on-israels-gaza-war,2026-02-18T05:31:59+00:00,2026-02-19T09:33:27+00:00,2aa21f11d673,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Dozens of film workers slam Berlin festival’s silence on Israel’s Gaza war,Tilda Swinton and Javier Bardem among actors and directors expressing dismay at Berlinale's 'anti-Palestinian racism'.,2026-02-19T09:49:15+00:00,200,,1,8,israel|palestin|gaza|pa
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/jesse-jackson-helped-empower-us-arabs-and-raise-palestinian-cause,2026-02-18T01:17:47+00:00,2026-02-19T09:33:27+00:00,87db9fd599bf,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,How Jesse Jackson helped empower US Arabs and lift up the Palestinian cause,Arab American advocates eulogise Jackson as a civil rights giant who embraced their communities and defended Palestine.,2026-02-19T09:49:16+00:00,200,,1,4,palestin|pa|un
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/17/hamas-trumps-board-of-peace-must-stop-israels-killing-in-gaza,2026-02-17T23:29:55+00:00,2026-02-19T09:33:27+00:00,a1c1645803a6,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Hamas: Trump’s ‘Board of Peace’ must stop Israel’s killing in Gaza,"'War of genocide against the Strip is still ongoing', Hamas says, warning the board not to act as 'cover'.",2026-02-19T09:49:17+00:00,200,,1,8,israel|gaza|hamas|genocide
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/17/israeli-settlers-displace-15-palestinian-families-in-west-bank-official,2026-02-17T12:34:19+00:00,2026-02-19T09:33:27+00:00,4465261c1058,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml,Israeli settlers displace 15 Palestinian families in West Bank: Official,"Israeli settlers forced the families to dismantle homes in the Jordan Valley, a village leader tells Wafa news agency.",2026-02-19T09:49:18+00:00,200,,1,12,israel|israeli|palestin|west bank|pa|settlers
