source_name,source_domain,url,published_at,retrieved_at,article_id,discovery_method,sitemap_url
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/19/the-cost-of-genocide-israels-war-on-gaza-by-the-numbers,2026-02-19T09:21:09+00:00,2026-02-19T09:33:27+00:00,b4b81e2ec591,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/19/torture-threats-rape-palestinian-journalists-detail-israeli-jail-abuse,2026-02-19T08:17:18+00:00,2026-02-19T09:33:27+00:00,458bd75012d0,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/19/young-palestinian-shot-killed-by-israeli-settlers-northeast-of-jerusalem,2026-02-19T03:37:52+00:00,2026-02-19T09:33:27+00:00,8b02760f20df,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/unsc-moves-gaza-meeting-to-avoid-clash-with-trumps-board-of-peace,2026-02-18T22:41:00+00:00,2026-02-19T09:33:27+00:00,80fe633790cc,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/leila-shahid-palestinian-diplomat-dies-in-france-aged-76,2026-02-18T18:33:57+00:00,2026-02-19T09:33:27+00:00,d345fcf84917,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/pro-palestine-activists-acquitted-of-burglary-at-israeli-arms-site-in-uk,2026-02-18T13:43:22+00:00,2026-02-19T09:33:27+00:00,3aaffd867a9a,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/israel-kills-two-in-gaza-blocks-thousands-from-medical-exit-through-rafah,2026-02-18T14:26:53+00:00,2026-02-19T09:33:27+00:00,a7d2ed4843cb,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/israeli-army-sniper-in-chile-accused-of-gaza-war-crimes-could-face-justice,2026-02-18T10:55:16+00:00,2026-02-19T09:33:27+00:00,2f68c4242b98,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/cambodian-pm-says-thailand-occupying-deep-territory-after-ceasefire,2026-02-18T08:19:57+00:00,2026-02-19T09:33:27+00:00,55ab278d42d1,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
Al Jazeera,aljazeera.com,https://www.aljazeera.com/news/2026/2/18/palestinians-in-gaza-face-food-shortages-restrictions-as-ramadan-begins,2026-02-18T08:28:58+00:00,2026-02-19T09:33:27+00:00,02d2f20a75c3,aj_xml_sitemap,https://www.aljazeera.com/news-sitemap.xml
