outlet,publish_date,title,description,url
Associated Press,2024-09-10,Lorde and Jack Antonoff silence heckler,Lorde shut down a heckler who called her out for cancelling her concert in Israel at the Ally Coalition Talent Show.,https://apnews.com/article/entertainment-lena-dunham-jack-antonoff-shmuley-boteach-middle-east-70346243843e44849b17f7dea65e1808
Associated Press,2025-05-19,"Trump peace plan delights Israelis, enrages Palestinians","President Donald Trump unveiled his long-awaited Mideast peace plan Tuesday alongside a beaming Benjamin Netanyahu, presenting a vision that matched the Israeli leader's hard-line, nationalist views while falling far short of Palestinian ambitions.",https://apnews.com/article/donald-trump-ap-top-news-international-news-jerusalem-politics-f7d36b9023309ce4b1e423b02abf52c6
Associated Press,2025-07-10,"Leaders vow to learn from Holocaust, offer competing lessons","Speaker by speaker, world leaders on Thursday denounced the rising threat of anti-Semitism and vowed never to forget the lessons of the Holocaust at a solemn ceremony in Jerusalem marking the 75th anniversary of the liberation of the infamous Auschwitz death camp.",https://apnews.com/article/emmanuel-macron-russia-race-and-ethnicity-michael-pence-jerusalem-94ab69ee1afe2ddce6c0f719983bee89
Associated Press,2025-05-23,Anger at Trump plan could mobilize Arab voters in Israel,"FAHM, Israel (AP) — It might have seemed to be one of the more innocuous elements in President Donald Trump's deeply divisive Middle East peace initiative: the suggestion that a densely populated Arab region of Israel be added to a future Palestinian state, if both sides agree.",https://apnews.com/article/donald-trump-us-news-ap-top-news-international-news-west-bank-37982cbe5f3596249c70b907ec87aee2
Associated Press,2025-03-21,Israel accused of torturing Palestinians after fatal bombing,"RAMALLAH, West Bank (AP) — One of the men was hospitalized with kidney failure and 11 broken ribs. Another was nearly unrecognizable to his wife when he was wheeled into a courtroom.",https://apnews.com/article/ap-top-news-courts-international-news-west-bank-bombings-029eb2f122af74621a876ee8b9fbcf00
Associated Press,2025-07-09,"World responds to Lebanon's plight, France's Macron to visit","As Lebanese rescuers counted the dead and combed rubble for signs of life a day after a huge explosion shattered swaths of Beirut, nations near and far pledged Wednesday that the country, already trapped in a deep economic crisis, would not be left alone.",https://apnews.com/article/ap-top-news-paris-middle-east-lebanon-france-7327e80b5315a39b70d03cd0355f2ebd
Associated Press,2025-05-22,Analysis: UAE-Israel ties may get Abu Dhabi advanced weapons,"DUBAI, United Arab Emirates (AP) — A U.S.-brokered deal that saw Israel and the United Arab Emirates begin to open diplomatic ties may end up with Abu Dhabi purchasing advanced American weaponry, potentially upending both a longstanding Israeli military edge regionally and the balance of power with",https://apnews.com/article/ap-top-news-iran-nuclear-international-news-middle-east-c69c1883043dbb830a894b5db6acd68a
Associated Press,2025-05-16,Palestinians arrest supporters of Abbas rival close to UAE,"RAMALLAH, West Bank (AP) — Palestinian security forces have detained dozens of supporters of a rival to President Mahmoud Abbas who is based in the United Arab Emirates, his political group said Monday.",https://apnews.com/article/israel-united-arab-emirates-mahmoud-abbas-west-bank-arrests-4e7daf1f26bfb9697bc177efc5ffce73
Associated Press,2025-07-08,"France and UN rally aid for Lebanon, urge political reforms",France and the United Nations vowed Wednesday to keep providing humanitarian aid to Lebanon but urged the country's leaders to form a new government as a political deadlock in Beirut has blocked billions of dollars in assistance for the cash-strapped country hit by multiple crises.,https://apnews.com/article/middle-east-lebanon-coronavirus-pandemic-united-nations-beirut-98c6537e82d04a811df1b07fcd3c958a
Associated Press,2023-12-04,US denies Iran claims of prisoner deal; UK plays it down,"The United States and Iran are in active talks over the release of prisoners, but Washington is denying a report by Iranian state-run television that deals had been struck.",https://apnews.com/article/world-news-iran-europe-middle-east-business-af8595806655db90a1204ab88f05273c
