source_name,source_domain,url,title,description,published_at,retrieved_at,query_used,article_id,feed_url
BBC,bbc.com,https://www.bbc.com/news/articles/c07xvv9r422o?at_medium=RSS&at_campaign=rss,Big names on Trump's peace panel face huge challenges in Gaza,"Whatever the concerns and complexities, it remains the only plan in town, with many world leaders pledging to support it, writes John Sudworth.",2026-01-17T14:31:00+00:00,2026-02-16T17:10:26.313794+00:00,rss_keyword_filter,868fe2a35c9003c2,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
BBC,bbc.com,https://www.bbc.com/news/articles/c9vx7kn33elo?at_medium=RSS&at_campaign=rss,Who is on Trump's 'Board of Peace' overseeing Gaza's reconstruction?,The first names of those who will oversee the next phase of the US president's peace plan are announced.,2026-01-17T17:49:03+00:00,2026-02-16T17:10:26.313834+00:00,rss_keyword_filter,f91dcee0f52e1263,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
BBC,bbc.com,https://www.bbc.com/news/videos/cj0n127y9eqo?at_medium=RSS&at_campaign=rss,BBC visits UN compound Israel is demolishing in East Jerusalem,John Sudworth says the sounds of heavy machinery can be heard echoing around the neighbourhood.,2026-01-20T13:14:59+00:00,2026-02-16T17:10:26.313947+00:00,rss_keyword_filter,09da2084f2738a7b,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
BBC,bbc.com,https://www.bbc.com/news/articles/c8rm20gm364o?at_medium=RSS&at_campaign=rss,'I can breathe again' says Israeli hostage held for nearly 500 days in Gaza,"In his first international interview, Sasha Troufanov tells the BBC how he thought he would die in captivity after he was taken hostage on 7 October 2023.",2026-01-29T16:25:40+00:00,2026-02-16T17:10:26.313683+00:00,rss_keyword_filter,8914d47036f97cc8,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
BBC,bbc.com,https://www.bbc.com/news/articles/clymp8v7ye2o?at_medium=RSS&at_campaign=rss,Israel split over plans to bring back death penalty for deadly attacks,"In a highly controversial move, some Israeli MPs are trying to introduce the death penalty for Palestinian attackers.",2026-01-31T06:09:39+00:00,2026-02-16T17:10:26.313572+00:00,rss_keyword_filter,11dde6071961ad90,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
BBC,bbc.com,https://www.bbc.com/news/articles/c78egvpkm77o?at_medium=RSS&at_campaign=rss,Israel eyes regime change in Iran - and is counting on Trump to make it happen,Analysts believe PM Netanyahu is urging the US towards maximalist strikes.,2026-01-31T12:52:08+00:00,2026-02-16T17:10:26.313626+00:00,rss_keyword_filter,475d08223cd4e015,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
The Guardian,theguardian.com,https://www.theguardian.com/australia-news/2026/feb/04/isaac-herzog-israel-president-australia-visit-controversy-ntwnfb,Who is Israel’s president Isaac Herzog and why is his visit to Australia expected to prompt mass protests?,"Herzog has been invited by the government on the basis of healing wounds after the Bondi attack, but some fear his visit will simply provoke further division Follow our Australia news live blog for latest updates Get our breaking news email , free app or daily news podcast When the president of Israel, Isaac Herzog, lands in Australia next week , it will be to a warm welcome from the government and the promise of mass protests from demonstrators opposed to his country’s war in Gaza. Major Jewish organisations and federal and state governments have welcomed Herzog’s visit as “a moment of profound significance”, but other groups, including some Jewish Australian organisations, say the president should be barred from entering the country, alleging he has incited genocide against Palestinians. Continue reading...",2026-02-03T14:00:04+00:00,2026-02-16T17:10:28.938191+00:00,rss_keyword_filter,b65de4a1b0815676,https://www.theguardian.com/world/israel-hamas-war/rss
The Guardian,theguardian.com,https://www.theguardian.com/books/2026/feb/03/marwan-barghouti-palestine-mandela-publish-new-book-from-prison-unbroken-in-pursuit-of-freedom-for-palestine,"Marwan Barghouti, ‘Palestine’s Mandela’, to publish book from prison","Unbroken: In Pursuit of Freedom for Palestine is a collection of writings by the Palestinian political leader, who has been held in Israeli prisons since 2002 A collection of writings by the imprisoned Palestinian political leader Marwan Barghouti will be published in November, bringing together prison letters, interviews, personal material and documents from the last three decades of Barghouti’s political life and incarceration. As deadly attacks on Gaza continue despite a nominal ceasefire, the 66-year-old is seen by many as the best hope for a leader of any future Palestinian state. Continue reading...",2026-02-03T15:49:08+00:00,2026-02-16T17:10:28.938116+00:00,rss_keyword_filter,e50c2d490ee686f9,https://www.theguardian.com/world/israel-hamas-war/rss
The Guardian,theguardian.com,https://www.theguardian.com/world/2026/feb/03/human-rights-watch-researchers-resign-palestine,Human Rights Watch researchers resign after report on Palestinian right of return blocked,"The organization claims the report, which finds Israel’s denial of the right of return is a crime against humanity, is ‘paused pending further analysis and research’ Two Human Rights Watch (HRW) employees who make up the organization’s entire Israel and Palestine team are stepping down from their positions after leadership blocked a report that deems Israel’s denial of Palestinian refugees the right of return a “crime against humanity”. In separate resignation letters obtained by Jewish Currents and the Guardian, Omar Shakir, who has headed the team for nearly the last decade, and Milena Ansari, the team’s assistant researcher, said leadership’s decision to pull the report broke from HRW’s customary approval processes and was evidence that the organization was putting fear of political backlash over a commitment to international law. Continue reading...",2026-02-03T16:00:03+00:00,2026-02-16T17:10:28.938038+00:00,rss_keyword_filter,035b85cfe890fc40,https://www.theguardian.com/world/israel-hamas-war/rss
The Guardian,theguardian.com,https://www.theguardian.com/news/audio/2026/feb/03/gaza-israel-partly-reopens-rafah-border-crossing-the-latest,Hope in Gaza? Vital crossing reopens under Israeli restrictions - The Latest,"A small number of Palestinians from Gaza have started crossing into Egypt for medical treatment after Israel allowed a limited reopening of the Rafah border crossing. It had been largely closed since Israeli troops seized it in May 2024, cutting off a critical lifeline for those in Gaza. About 20,000 Palestinians needing medical care hope to leave Gaza using the crossing, but only a handful have been allowed through so far. The reopening of Rafah is seen as a key step in the US-brokered ceasefire agreement as it moves into its second phase. Lucy Hough speaks to chief Middle East correspondent Emma Graham-Harrison – watch on YouTube Continue reading...",2026-02-03T16:47:19+00:00,2026-02-16T17:10:28.937961+00:00,rss_keyword_filter,808a129da965f54e,https://www.theguardian.com/world/israel-hamas-war/rss
